region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
III (Central Luzon),Diosdado Macapagal International Airport,Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Tiger Airways,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Air Asia,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Deer Air,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Shanghai Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,G. AVIATION,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Diosdado Macapagal International Airport,MILITARY,-,-,-,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Plaridel,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
NCR,NAIA,International,1448853,1230047,1305657,1499844,1487569,1319654,1274001,1289557,1133588,1241800,1271752,1493301,15995623
NCR,NAIA,Domestic,1363249,1576726,1556148,1774951,1878980,1484575,1328748,1381072,1263699,1451311,1411741,1548343,18019543
NCR,NAIA,G. Aviation,16118,16313,16808,16154,19646,15654,12794,14273,12355,15591,13426,14684,183816
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Baler,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Baler,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-A (CALABARZON)),Baler,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Busuanga,Air Philippines,6498,5402,5593,-,2788,7044,6724,6913,5247,6671,7800,9583,70263
IV-B (MIMAROPA),Busuanga,Cebu Pacific,11610,11237,12207,-,14743,12758,10708,11360,9261,10955,11224,11273,127336
IV-B (MIMAROPA),Busuanga,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Busuanga,Skyjet,-,514,740,-,1606,438,-,56,117,-,-,619,4090
IV-B (MIMAROPA),Busuanga,Air Juan,-,-,-,-,95,98,67,97,106,130,183,171,947
IV-B (MIMAROPA),Busuanga,G. Aviation,135,123,360,-,420,290,174,221,160,149,341,242,2615
