"year","month","region","subregion","country","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2014,"march","Europe","Western Europe","Switzerland",2405,-151.942360774818,47.0366101694915
2014,"march","Others & Unspecified","Others & Unspecified","Residences",4353,NA,NA
2014,"april","Africa","Africa","Nigeria",116,-152.464510556622,9.04612284069098
2014,"april","Africa","Africa","South Africa",333,-132.876814159292,-28.5941592920354
2014,"april","America","North America","Canada",14333,112.832333696838,48.1319847328244
2014,"april","America","North America","Mexico",218,100.133599574015,20.7982747603834
2014,"april","America","North America","USA",67487,104.870802407222,37.4450351053159
2014,"april","America","South America","Argentina",104,137.710731707317,-33.5251219512195
2014,"april","America","South America","Brazil",218,153.832635897436,-17.5192102564103
2014,"april","America","South America","Colombia",66,125.168682877406,5.70347517730496
2014,"april","America","South America","Peru",29,123.582095588235,-9.93136029411765
2014,"april","America","South America","Venezuela",13,131.974711538462,9.79432692307692
2014,"april","Asia","ASEAN","Brunei",518,-45.374,4.73
2014,"april","Asia","ASEAN","Cambodia",277,-55.1844,12.2416
2014,"april","Asia","ASEAN","Indonesia",3095,-49.7179831932773,-5.32147058823529
2014,"april","Asia","ASEAN","Laos",72,-55.9455555555555,18.0761111111111
2014,"april","Asia","ASEAN","Malaysia",12059,-56.2003067484662,3.87441717791411
2014,"april","Asia","ASEAN","Myanmar",706,-63.8993939393939,18.9172727272727
2014,"april","Asia","ASEAN","Singapore",17279,-56.15,1.3
2014,"april","Asia","ASEAN","Thailand",4422,-58.8763822525597,14.4172354948805
2014,"april","Asia","ASEAN","Vietnam",2249,-53.5057352941176,16.3188235294118
2014,"april","Asia","East Asia","China",37714,-44.1156278026906,34.0535201793722
2014,"april","Asia","East Asia","Hongkong",10529,NA,NA
2014,"april","Asia","East Asia","Japan",44568,-23.1284684684684,35.605975975976
2014,"april","Asia","East Asia","Korea",79408,-32.3073484848485,36.3019696969697
2014,"april","Asia","East Asia","Macau",752,NA,NA
2014,"april","Asia","East Asia","Taiwan",10700,-39.2136734693877,24.0868367346939
2014,"april","Asia","Middle East","Bahrain",314,-109.447272727273,26.1736363636364
2014,"april","Asia","Middle East","Egypt",133,-128.630588235294,29.4472549019608
2014,"april","Asia","Middle East","Jordan",62,-124.15642384106,32.0415894039735
2014,"april","Asia","Middle East","Kuwait",454,-112.027714285714,29.2714285714286
2014,"april","Asia","Middle East","Qatar",372,-108.735555555556,25.3366666666667
2014,"april","Asia","Middle East","Saudi Arabia",2964,-115.712795698925,23.777311827957
2014,"april","Asia","Middle East","United Arab Emirates",1500,-104.391111111111,25.18
2014,"april","Asia","South Asia","Bangladesh",245,-69.7788111888112,23.7406293706294
2014,"april","Asia","South Asia","India",5025,-80.6390758047767,21.5019210799585
2014,"april","Asia","South Asia","Iran",247,-108.556127819549,33.8924812030075
2014,"april","Asia","South Asia","Nepal",285,-75.3217307692308,27.6073076923077
2014,"april","Asia","South Asia","Pakistan",316,-89.0981339712919,29.9402631578947
2014,"april","Asia","South Asia","Sri Lanka",718,-79.6352112676057,7.26901408450704
2014,"april","Australasia & The Pacific","Australasia & The Pacific","Australia",21464,-15.7823004694836,-30.319014084507
2014,"april","Australasia & The Pacific","Australasia & The Pacific","Guam",3312,-15.2292592592593,13.4496296296296
2014,"april","Australasia & The Pacific","Australasia & The Pacific","Nauru",1,6.90999999999997,-0.55
2014,"april","Australasia & The Pacific","Australasia & The Pacific","New Zealand",1375,13.6360507246377,-40.5059420289855
2014,"april","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",469,-13.0243902439024,-6.12756097560976
2014,"april","Europe","Eastern Europe","Commonwealth Of Independent States",518,NA,NA
2014,"april","Europe","Eastern Europe","Poland",414,-141.010615034169,51.843735763098
2014,"april","Europe","Eastern Europe","Russian Federation",2167,-104.664588832487,53.6329137055838
2014,"april","Europe","Eastern Mediterranean Europe","Israel",791,-124.919067357513,32.3195336787565
2014,"april","Europe","Eastern Mediterranean Europe","Turkey",300,-125.645423514539,39.2837547408344
2014,"april","Europe","Northern Europe","Denmark",1243,-149.482451612903,55.8588709677419
2014,"april","Europe","Northern Europe","Finland",422,-135.20176744186,62.2486046511628
2014,"april","Europe","Northern Europe","Ireland",1128,-167.659333333333,53.1170909090909
2014,"april","Europe","Northern Europe","Norway",1630,-149.670952380952,62.0989355742297
2014,"april","Europe","Northern Europe","Sweden",1393,-144.479326923077,58.9549038461538
