"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"march","Europe","Eastern Europe","Russian Federation",-104.664588832487,53.6329137055838,3557,1989,2150,3979,3426
"march","Europe","Eastern Mediterranean Europe","Israel",-124.919067357513,32.3195336787565,878,1116,1643,1596,2412
"march","Europe","Eastern Mediterranean Europe","Turkey",-125.645423514539,39.2837547408344,301,511,690,975,798
"march","Europe","Northern Europe","Denmark",-149.482451612903,55.8588709677419,1295,1536,2013,1669,2021
"march","Europe","Northern Europe","Finland",-135.20176744186,62.2486046511628,586,554,602,662,660
"march","Europe","Northern Europe","Ireland",-167.659333333333,53.1170909090909,973,1379,1686,1421,1873
"march","Europe","Northern Europe","Norway",-149.670952380952,62.0989355742297,1506,2175,2245,1635,2166
"march","Europe","Northern Europe","Sweden",-144.479326923077,58.9549038461538,2002,2310,2797,2831,3111
"march","Europe","Northern Europe","United Kingdom",-161.96267027027,52.9356972972973,0,16730,20859,16380,22967
"march","Europe","Southern Europe","Greece",-136.79204,38.98216,196,220,225,303,324
"march","Europe","Southern Europe","Italy",-147.610994923858,42.7972182741117,1884,1931,2159,2897,3098
"march","Europe","Southern Europe","Portugal",-168.546278538813,39.9041552511416,192,187,316,360,456
"march","Europe","Southern Europe","Spain",-162.8159375,40.0899421296296,1653,2109,2656,2719,4204
"march","Europe","Western Europe","Andorra",-158.461428571429,42.5342857142857,331,24,28,23,35
"march","Europe","Western Europe","Austria",-145.891361702128,47.6804680851064,1214,1112,1257,1309,1204
"march","Europe","Western Europe","Belgium",-155.426974637681,50.7387862318841,996,1203,1635,1414,1575
"march","Europe","Western Europe","France",-157.2156,47.37819,3753,4735,5915,7757,8489
"march","Europe","Western Europe","Germany",-150.696603206413,50.8155811623246,8788,8576,10415,10381,10161
"march","Europe","Western Europe","Luxembourg",-153.907505285412,49.7718181818182,46,74,101,70,98
"march","Europe","Western Europe","Netherlands",-154.601603773585,52.0650943396226,2097,2365,2872,2854,3136
"march","Europe","Western Europe","Switzerland",-151.942360774818,47.0366101694915,2405,2576,2896,2791,3404
"march","Others & Unspecified","Others & Unspecified","Residences",NA,NA,4353,4599,6044,7056,7213
"april","Africa","Africa","Nigeria",-152.464510556622,9.04612284069098,116,124,105,97,188
"april","Africa","Africa","South Africa",-132.876814159292,-28.5941592920354,333,395,559,471,674
"april","America","North America","Canada",112.832333696838,48.1319847328244,14333,0,14987,19755,19148
"april","America","North America","Mexico",100.133599574015,20.7982747603834,218,0,249,362,359
"april","America","North America","USA",104.870802407222,37.4450351053159,67487,0,72718,87614,85573
"april","America","South America","Argentina",137.710731707317,-33.5251219512195,104,0,243,353,422
"april","America","South America","Brazil",153.832635897436,-17.5192102564103,218,0,319,650,723
"april","America","South America","Colombia",125.168682877406,5.70347517730496,66,0,84,145,185
"april","America","South America","Peru",123.582095588235,-9.93136029411765,29,0,44,73,84
"april","America","South America","Venezuela",131.974711538462,9.79432692307692,13,0,26,25,33
"april","Asia","ASEAN","Brunei",-45.374,4.73,518,0,640,831,650
"april","Asia","ASEAN","Cambodia",-55.1844,12.2416,277,0,354,501,384
"april","Asia","ASEAN","Indonesia",-49.7179831932773,-5.32147058823529,3095,0,4075,5572,0
"april","Asia","ASEAN","Laos",-55.9455555555555,18.0761111111111,72,0,127,168,118
"april","Asia","ASEAN","Malaysia",-56.2003067484662,3.87441717791411,12059,0,12234,12839,11771
"april","Asia","ASEAN","Myanmar",-63.8993939393939,18.9172727272727,706,0,694,848,890
"april","Asia","ASEAN","Singapore",-56.15,1.3,17279,0,16592,13895,15493
"april","Asia","ASEAN","Thailand",-58.8763822525597,14.4172354948805,4422,0,4805,4926,0
"april","Asia","ASEAN","Vietnam",-53.5057352941176,16.3188235294118,2249,0,2921,4023,0
"april","Asia","East Asia","China",-44.1156278026906,34.0535201793722,37714,0,54011,74893,114549
"april","Asia","East Asia","Hongkong",NA,NA,10529,0,9125,12260,10324
"april","Asia","East Asia","Japan",-23.1284684684684,35.605975975976,44568,0,39996,44872,49021
"april","Asia","East Asia","Korea",-32.3073484848485,36.3019696969697,79408,0,98052,117074,122387
"april","Asia","East Asia","Macau",NA,NA,752,0,771,911,768
"april","Asia","East Asia","Taiwan",-39.2136734693877,24.0868367346939,10700,0,19554,21318,22950
"april","Asia","Middle East","Bahrain",-109.447272727273,26.1736363636364,314,0,320,350,306
"april","Asia","Middle East","Egypt",-128.630588235294,29.4472549019608,133,0,202,192,153
"april","Asia","Middle East","Jordan",-124.15642384106,32.0415894039735,62,0,72,76,76
"april","Asia","Middle East","Kuwait",-112.027714285714,29.2714285714286,454,0,503,753,561
"april","Asia","Middle East","Oman",-102.48380952381,22.9366666666667,NA,NA,NA,NA,267
"april","Asia","Middle East","Qatar",-108.735555555556,25.3366666666667,372,0,468,391,399
"april","Asia","Middle East","Saudi Arabia",-115.712795698925,23.777311827957,2964,0,4301,4820,0
"april","Asia","Middle East","United Arab Emirates",-104.391111111111,25.18,1500,0,1775,1503,0
"april","Asia","South Asia","Bangladesh",-69.7788111888112,23.7406293706294,245,0,342,346,403
"april","Asia","South Asia","India",-80.6390758047767,21.5019210799585,5025,0,7457,8842,10021
"april","Asia","South Asia","Iran",-108.556127819549,33.8924812030075,247,0,258,210,146
"april","Asia","South Asia","Nepal",-75.3217307692308,27.6073076923077,285,0,334,798,895
"april","Asia","South Asia","Pakistan",-89.0981339712919,29.9402631578947,316,0,383,401,387
"april","Asia","South Asia","Sri Lanka",-79.6352112676057,7.26901408450704,718,0,481,443,530
